date,guests,nationality,source,source_details,nature_trail,garden_walk,petting_zoo,family_games_area,fishing_pond,tea_rating,lunch_rating,suggestions
2025-12-16,2,German,Instagram,,4,4,4,5,5,"Loved the tea tasting, very fresh.","Loved the variety, very fresh ingredients.",Better signage for directions around the farm.
2025-12-17,2,Dutch,Instagram,,5,4,4,5,4,Excellent matcha and herbal blends!,Generous portions and tasty.,More shaded seating areas would help.
2025-12-17,3,Chinese,Tiktok,,4,4,4,4,4,Best tea selection we have had on a farm tour.,Delicious vegetarian spread!,A map of the farm at the entrance would help.
2025-12-18,2,British,Tiktok,,4,3,3,4,4,"Great variety, bought some to take home.","Good food, portions were a bit small.","Loved it, will recommend to friends!"
2025-12-21,1,Italian,Tiktok,,4,4,4,4,4,"Loved the tea tasting, very fresh.","Loved the variety, very fresh ingredients.",Add a small gift shop for tea products.
2025-12-21,3,Kenyan,Other,Hotel concierge recommendation,5,3,4,4,3,"Great variety, bought some to take home.",Delicious vegetarian spread!,More vegetarian options at lunch.
2025-12-22,8,Chinese,Referral,,5,4,3,5,5,Best tea selection we have had on a farm tour.,Delicious vegetarian spread!,A map of the farm at the entrance would help.
2025-12-25,4,Italian,Other,Drove past and stopped in,3,4,4,3,4,"Tea was good, a bit weak.","Loved the variety, very fresh ingredients.",More vegetarian options at lunch.
2026-01-01,2,French,Google search,,4,3,4,4,3,"Loved the tea tasting, very fresh.","Loved the variety, very fresh ingredients.",Could use more shade near the animal pens.
2026-01-10,1,Tanzanian,Other,Drove past and stopped in,5,4,3,4,4,Best tea selection we have had on a farm tour.,"Loved the variety, very fresh ingredients.","Loved it, will recommend to friends!"
2026-01-15,1,Dutch,Other,School trip flyer,4,5,3,4,4,Excellent matcha and herbal blends!,Delicious vegetarian spread!,A map of the farm at the entrance would help.
2026-01-15,2,Tanzanian,Referral,,5,5,4,4,3,Best tea selection we have had on a farm tour.,Generous portions and tasty.,More vegetarian options at lunch.
2026-01-17,4,Kenyan,Google search,,3,4,3,5,4,"Tea was good, a bit weak.","Loved the variety, very fresh ingredients.","Loved it, will recommend to friends!"
2026-01-22,1,Tanzanian,Instagram,,5,4,4,3,4,"Great variety, bought some to take home.",Generous portions and tasty.,Add more interactive activities for adults.
2026-01-25,4,Kenyan,Google search,,5,4,4,4,4,Best tea selection we have had on a farm tour.,Best farm lunch we have had.,A map of the farm at the entrance would help.
2026-01-30,2,Ugandan,Instagram,,5,4,4,4,4,"Great variety, bought some to take home.",Best farm lunch we have had.,"Everything was great, keep it up!"
2026-01-31,4,Tanzanian,Tiktok,,4,3,4,3,4,Excellent matcha and herbal blends!,Delicious vegetarian spread!,More shaded seating areas would help.
2026-02-06,3,Kenyan,Instagram,,4,4,4,4,4,Excellent matcha and herbal blends!,"Loved the variety, very fresh ingredients.",Add more interactive activities for adults.
2026-02-07,2,American,Google search,,3,3,3,4,4,"Decent selection, nothing special.",Tasty but limited options for kids.,"Everything was great, keep it up!"
2026-02-07,4,Tanzanian,Referral,,4,5,3,4,4,"Great variety, bought some to take home.",Best farm lunch we have had.,More vegetarian options at lunch.
2026-02-09,10,Australian,Tiktok,,4,4,5,3,5,"Great variety, bought some to take home.",Best farm lunch we have had.,Better signage for directions around the farm.
2026-02-09,6,Kenyan,Google search,,4,4,4,4,4,"Loved the tea tasting, very fresh.","Loved the variety, very fresh ingredients.","Loved it, will recommend to friends!"
2026-02-10,1,British,Instagram,,4,4,3,3,4,Best tea selection we have had on a farm tour.,Best farm lunch we have had.,Could use more shade near the animal pens.
2026-02-10,4,Canadian,Instagram,,5,3,4,4,4,"Great variety, bought some to take home.",Best farm lunch we have had.,A map of the farm at the entrance would help.
2026-02-12,10,French,Instagram,,5,4,3,3,4,Best tea selection we have had on a farm tour.,Delicious vegetarian spread!,Could use more shade near the animal pens.
2026-02-21,1,Indian,Instagram,,4,4,4,3,4,"Great variety, bought some to take home.",Generous portions and tasty.,More frequent feeding sessions for the animals.
2026-02-24,3,French,Tiktok,,4,4,3,4,5,Excellent matcha and herbal blends!,"Loved the variety, very fresh ingredients.",Add a small gift shop for tea products.
2026-02-25,2,Ugandan,Referral,,4,5,4,4,5,"Great variety, bought some to take home.",Best farm lunch we have had.,Extend the fishing time slot.
2026-02-25,3,Kenyan,Instagram,,5,5,3,3,4,"Loved the tea tasting, very fresh.",Generous portions and tasty.,"Loved it, will recommend to friends!"
2026-02-27,8,Kenyan,Instagram,,4,4,4,4,4,"Loved the tea tasting, very fresh.",Best farm lunch we have had.,Add a small gift shop for tea products.
2026-03-02,1,British,Google search,,4,4,4,4,4,"Great variety, bought some to take home.","Loved the variety, very fresh ingredients.",More shaded seating areas would help.
2026-03-05,10,Kenyan,Instagram,,5,4,4,4,4,"Loved the tea tasting, very fresh.",Generous portions and tasty.,"Everything was great, keep it up!"
2026-03-17,6,German,Tiktok,,5,4,3,4,4,Excellent matcha and herbal blends!,Generous portions and tasty.,A map of the farm at the entrance would help.
2026-03-21,3,Chinese,Instagram,,5,4,3,4,5,"Great variety, bought some to take home.","Loved the variety, very fresh ingredients.",Add a small gift shop for tea products.
2026-03-28,10,Australian,Referral,,4,4,4,3,4,"Loved the tea tasting, very fresh.",Best farm lunch we have had.,Offer a guided tour option in French.
2026-03-30,10,South African,Google search,,4,4,4,4,3,Excellent matcha and herbal blends!,Generous portions and tasty.,Could use more shade near the animal pens.
2026-04-05,1,British,Google search,,5,4,4,4,4,Best tea selection we have had on a farm tour.,Generous portions and tasty.,More frequent feeding sessions for the animals.
2026-04-08,4,Kenyan,Google search,,5,4,4,4,3,"Great variety, bought some to take home.",Best farm lunch we have had.,Add a small gift shop for tea products.
2026-04-12,4,Ugandan,Referral,,4,4,3,3,4,Excellent matcha and herbal blends!,Delicious vegetarian spread!,Could use more shade near the animal pens.
2026-04-16,10,Ugandan,Referral,,4,3,4,4,5,Best tea selection we have had on a farm tour.,Best farm lunch we have had.,Offer a guided tour option in French.
2026-04-16,8,Dutch,Other,Hotel concierge recommendation,4,5,3,5,3,"Loved the tea tasting, very fresh.",Generous portions and tasty.,Extend the fishing time slot.
2026-04-21,2,German,Google search,,4,4,4,4,5,Excellent matcha and herbal blends!,Delicious vegetarian spread!,"Everything was great, keep it up!"
2026-04-23,4,Kenyan,Google search,,4,4,3,5,3,Excellent matcha and herbal blends!,Generous portions and tasty.,More frequent feeding sessions for the animals.
2026-04-24,6,Fijian,Tiktok,,4,4,4,4,5,"Great variety, bought some to take home.","Loved the variety, very fresh ingredients.",More vegetarian options at lunch.
2026-04-27,2,American,Tiktok,,4,4,4,4,3,"Loved the tea tasting, very fresh.",Best farm lunch we have had.,Better signage for directions around the farm.
2026-05-04,1,British,Instagram,,4,4,3,4,4,"Loved the tea tasting, very fresh.",Delicious vegetarian spread!,More shaded seating areas would help.
2026-05-04,4,Chinese,Referral,,5,5,4,3,4,Excellent matcha and herbal blends!,Best farm lunch we have had.,Add a small gift shop for tea products.
2026-05-06,5,Chinese,Google search,,4,4,4,4,5,"Loved the tea tasting, very fresh.",Best farm lunch we have had.,More vegetarian options at lunch.
2026-05-07,2,Australian,Tiktok,,4,5,4,4,4,Excellent matcha and herbal blends!,Generous portions and tasty.,"Everything was great, keep it up!"
2026-05-12,5,Canadian,Instagram,,5,4,4,4,4,Best tea selection we have had on a farm tour.,Generous portions and tasty.,Offer a guided tour option in French.
2026-05-15,4,Italian,Instagram,,4,4,4,3,4,Excellent matcha and herbal blends!,Best farm lunch we have had.,Add more interactive activities for adults.
2026-05-17,4,Tanzanian,Other,Hotel concierge recommendation,5,3,4,4,4,"Great variety, bought some to take home.",Generous portions and tasty.,Extend the fishing time slot.
2026-05-18,2,Dutch,Instagram,,5,4,3,4,5,"Great variety, bought some to take home.",Delicious vegetarian spread!,"Everything was great, keep it up!"
2026-05-23,2,French,Google search,,4,4,4,4,5,"Great variety, bought some to take home.",Delicious vegetarian spread!,More frequent feeding sessions for the animals.
2026-05-23,3,Indian,Google search,,4,4,4,5,4,"Great variety, bought some to take home.",Best farm lunch we have had.,Better signage for directions around the farm.
2026-05-24,3,Chinese,Google search,,4,4,4,4,5,"Loved the tea tasting, very fresh.","Loved the variety, very fresh ingredients.",Could use more shade near the animal pens.
2026-05-30,6,Chinese,Tiktok,,5,3,3,5,5,Excellent matcha and herbal blends!,Tasty but limited options for kids.,More shaded seating areas would help.
2026-06-01,4,French,Google search,,4,4,4,4,4,Best tea selection we have had on a farm tour.,Best farm lunch we have had.,Add more interactive activities for adults.
2026-06-08,4,Kenyan,Tiktok,,5,4,4,4,4,Best tea selection we have had on a farm tour.,Delicious vegetarian spread!,Could use more shade near the animal pens.
2026-06-11,4,Kenyan,Other,Newspaper article,5,4,3,4,4,"Great variety, bought some to take home.","Loved the variety, very fresh ingredients.",Better signage for directions around the farm.
2026-06-12,1,Kenyan,Tiktok,,5,4,3,1,1,good,delicious,N/A
